ticker,date,side,spot,final,vol_rank_pct,credit,max_loss,pnl_per_spread
NVDA,2025-03-20,bear_call,118.5,101.78,0.762,143.88,356.12,143.88
NVDA,2025-03-21,bear_call,117.68,94.28,0.742,142.54,357.46,142.54
NVDA,2025-03-24,bear_call,121.24,97.62,0.75,143.82,356.18,143.82
NVDA,2025-03-25,bear_call,120.66,96.41,0.73,143.0,357.0,143.0
NVDA,2025-03-26,bear_call,113.72,114.21,0.754,142.66,357.34,142.66
NVDA,2025-04-09,bear_call,114.21,106.38,0.833,154.19,345.81,154.19
NVDA,2025-04-10,bear_call,107.67,110.92,0.861,154.67,345.33,154.67
NVDA,2025-04-11,bear_call,110.77,108.72,0.841,154.35,345.65,154.35
NVDA,2025-04-14,bear_call,110.71,108.91,0.837,154.28,345.72,154.28
NVDA,2025-04-15,bear_call,112.12,108.79,0.829,154.12,345.88,154.12
NVDA,2025-04-16,bear_call,104.52,111.55,0.897,154.7,345.3,-25.2
NVDA,2025-04-17,bear_call,101.4,114.44,0.897,154.19,345.81,-345.81
NVDA,2025-04-21,bear_call,96.77,113.78,0.917,153.83,346.17,-346.17
NVDA,2025-04-22,bear_call,98.86,113.45,0.897,154.03,345.97,-345.97
NVDA,2025-04-23,bear_call,102.5,117.02,0.921,155.81,344.19,-344.19
NVDA,2025-04-24,bear_call,106.38,117.36,0.913,156.14,343.86,-343.86
NVDA,2025-04-25,bear_call,110.92,116.61,0.921,157.72,342.28,143.32
NVDA,2025-04-28,bear_call,108.72,122.98,0.921,157.37,342.63,-342.63
NVDA,2025-04-29,bear_call,108.91,129.83,0.917,157.36,342.64,-342.64
NVDA,2025-04-30,bear_call,108.79,135.35,0.909,157.24,342.76,-342.76
NVDA,2025-05-01,bear_call,111.55,134.91,0.921,158.03,341.97,-341.97
NVDA,2025-05-02,bull_put,114.44,135.31,0.806,180.47,319.53,180.47
NVDA,2025-05-05,bull_put,113.78,135.6,0.726,173.56,326.44,173.56
NVDA,2025-05-06,bull_put,113.45,134.41,0.722,172.87,327.13,172.87
NVDA,2025-05-07,bull_put,117.02,131.81,0.722,173.76,326.24,173.76
NVDA,2025-11-19,bull_put,186.7,183.45,0.702,128.48,371.52,128.48
